City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Cioeste,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2500000,Not able to calculate,1,0.5
Clinton,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,26885,Not able to calculate,1,0.5
Cluj-Napoca,Romania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,309338,Not able to calculate,1,0.5
Colina,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Cologne,Germany,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Comas,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,548565,Not able to calculate,1,0.5
Concepción,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,223574,Not able to calculate,1,0.5
Cotriguaçu,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Cremona,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Cruzeiro do Sul,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,88376,Not able to calculate,1,0.5
Cubatão,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,118720,Not able to calculate,1,0.5
Cuiabá,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,580489,Not able to calculate,1,0.5
Cusco,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,434659,Not able to calculate,1,0.5
Dalian,China,East Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,5952057,Not able to calculate,1,0.5
Dehradun,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,803983,Not able to calculate,1,0.5
Del Carmen,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,20000,Not able to calculate,1,0.5
Derry,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,150679,Not able to calculate,1,0.5
Dioudoubou,Senegal,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,7050,Not able to calculate,1,0.5
Dipolog,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,130759,Not able to calculate,1,0.5
Duque de Caxias,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,886917,Not able to calculate,1,0.5
Dura,State of Palestine,Middle East,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
"East Hampton, NY",United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,21457,Not able to calculate,1,0.5
Ekurhuleni,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,3894000,Not able to calculate,1,0.5
Elgin,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,110000,Not able to calculate,1,0.5
Eskişehir,Turkey,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,887475,Not able to calculate,1,0.5
Esquìas,Honduras,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,18308,Not able to calculate,1,0.5
Évora,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,56596,Not able to calculate,1,0.5
Figueira da Foz,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,62125,Not able to calculate,1,0.5
Floridablanca,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,263095,Not able to calculate,1,0.5
Fort Worth,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,909585,Not able to calculate,1,0.5
Franco da Rocha,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,131,Not able to calculate,1,0.5
Frederikshavn,Denmark,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,60379,Not able to calculate,1,0.5
Galati,Romania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,303000,Not able to calculate,1,0.5
Gangtok,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,100286,Not able to calculate,1,0.5
Gdynia,Poland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,246348,Not able to calculate,1,0.5
Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,598830,Not able to calculate,1,0.5
Grand-Bassam,Côte d'Ivoire,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,84000,Not able to calculate,1,0.5
Gretna,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,17935,Not able to calculate,1,0.5
Guarujá,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,290752,Not able to calculate,1,0.5
Guarulhos,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1349000,Not able to calculate,1,0.5
"Guilford, VT",United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2121,Not able to calculate,1,0.5
Guwahati,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1498970,Not able to calculate,1,0.5
Gwangmyeong-si,Republic of Korea,East Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,321435,Not able to calculate,1,0.5
Harare,Zimbabwe,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1836552,Not able to calculate,1,0.5
Henderson,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,310374,Not able to calculate,1,0.5
Huntington Beach,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,202498,Not able to calculate,1,0.5
Hwaseong-si,Republic of Korea,East Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,850050,Not able to calculate,1,0.5
Ilha,Mozambique,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
ìlhavo,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,38598,Not able to calculate,1,0.5
Itagüì,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,276744,Not able to calculate,1,0.5
Jahu,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Jasin,Malaysia,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,141000,Not able to calculate,1,0.5
Jbail-Byblos,Lebanon,Middle East,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,40000000,Not able to calculate,1,0.5
Jelgava,Latvia,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
JICOSUR,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,147918,Not able to calculate,1,0.5
JISOC,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,344325,Not able to calculate,1,0.5
Joinville,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,590466,Not able to calculate,1,0.5
Juárez,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1391180,Not able to calculate,1,0.5
Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,144000,Not able to calculate,1,0.5
Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.5
Junta Intermunicipal de Medio Ambiente del Ayuquila Alto,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.5
Junta Municipal de Medio Ambiente Lagunas (JIMAL),Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.5
Juruena,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Kasama,Zambia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,350000,Not able to calculate,1,0.5
L'Aquila,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,69710,Not able to calculate,1,0.5
La Barca,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,85000,Not able to calculate,1,0.5
La Marsa,Tunisia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,98500,Not able to calculate,1,0.5
La Spezia,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,93870,Not able to calculate,1,0.5
LaGrange,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,931,Not able to calculate,1,0.5
Lake Worth,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,36000,Not able to calculate,1,0.5
Leticia,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,42280,Not able to calculate,1,0.5
Lilongwe,Malawi,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,989318,Not able to calculate,1,0.5
Limeira,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,276022,Not able to calculate,1,0.5
Lince,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,55000,Not able to calculate,1,0.5
Linköping,Sweden,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Little Rock,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,198600,Not able to calculate,1,0.5
Lorena,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,88706,Not able to calculate,1,0.5
Lucca,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,90107,Not able to calculate,1,0.5
Lusaka,Zambia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,3360183,Not able to calculate,1,0.5
Maceió,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1021127,Not able to calculate,1,0.5
Mafra,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,81961,Not able to calculate,1,0.5
Malolos,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,252074,Not able to calculate,1,0.5
Manaus,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2057711,Not able to calculate,1,0.5
Maringá,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,417010,Not able to calculate,1,0.5
Markaryds Kommun,Sweden,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,10260,Not able to calculate,1,0.5
Massa Marittima,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,8303,Not able to calculate,1,0.5
Mazabuka,Zambia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,182205,Not able to calculate,1,0.5
Medan City Government,Indonesia,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2247425,Not able to calculate,1,0.5
Mezitli,Turkey,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,204240,Not able to calculate,1,0.5
Michuhol-gu Municipal Government of Incheon,Republic of Korea,East Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,425436,Not able to calculate,1,0.5
Mirandela,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,11852,Not able to calculate,1,0.5
Mogale City Local Municipality,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,383864,Not able to calculate,1,0.5
Monrovia,Liberia,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1197684,Not able to calculate,1,0.5
Montalegre,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,9280,Not able to calculate,1,0.5
Morelia,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,784776,Not able to calculate,1,0.5
Morungaba,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,13622,Not able to calculate,1,0.5
Mosquera,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,86954,Not able to calculate,1,0.5
Mülheim a.d.R,Germany,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,172593,Not able to calculate,1,0.5
Municipal Council of Penang,Malaysia,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,748000,Not able to calculate,1,0.5
Municipalidad  de Valparaìso,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,296655,Not able to calculate,1,0.5
Municipalidad Cerro Navia,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,132622,Not able to calculate,1,0.5
Municipalidad de Bellavista,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,74,Not able to calculate,1,0.5
Municipalidad de Independencia (Peru),Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,212111,Not able to calculate,1,0.5
Municipalidad de Talca,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,220357,Not able to calculate,1,0.5
Municipalidad de Tarapoto,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1863,Not able to calculate,1,0.5
Municipalidad de Temuco,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,282415,Not able to calculate,1,0.5
Municipalidad Distrital de Chimbote,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,338,Not able to calculate,1,0.5
Municipalidad Distrital de La Molina,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,140679,Not able to calculate,1,0.5
Municipalidad Provincial de Chiclayo,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,630387,Not able to calculate,1,0.5
Municipalidad San Pedro Carchá,Guatemala,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,272300,Not able to calculate,1,0.5
Municipality of ChişinÄƒu,Republic of Moldova,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2550000,Not able to calculate,1,0.5
Municipality of Tahuamanu,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2500,Not able to calculate,1,0.5
Municipality of Villanueva,Guatemala,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1200000,Not able to calculate,1,0.5
Municipio de Cajamarca,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,17309,Not able to calculate,1,0.5
Municìpio de Itacoatiara,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,86839,Not able to calculate,1,0.5
Municìpio de Lagos,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,30374,Not able to calculate,1,0.5
Municipio de Maneiro,Venezuela (Bolivarian Republic of),Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Municìpio de Odemira,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,26066,Not able to calculate,1,0.5
Municipio de Santa Catarina Pinula,Guatemala,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,97000,Not able to calculate,1,0.5
Nakuru,Kenya,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2038945,Not able to calculate,1,0.5
Natal,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,803739,Not able to calculate,1,0.5
Natchez,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,15500,Not able to calculate,1,0.5
Naucalpan de Juárez,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,916796,Not able to calculate,1,0.5
New Plymouth District,New Zealand,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,83400,Not able to calculate,1,0.5
Ocú,Panama,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,15539,Not able to calculate,1,0.5
Odder,Denmark,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,22624,Not able to calculate,1,0.5
Olìmpia,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,51092,Not able to calculate,1,0.5
Osasco,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,676,Not able to calculate,1,0.5
Ovar,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,55398,Not able to calculate,1,0.5
PaneveÅ¾ys,Lithuania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,92949,Not able to calculate,1,0.5
Paraìso,Costa Rica,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,58030,Not able to calculate,1,0.5
Pärnu,Estonia,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,51504,Not able to calculate,1,0.5
Pemba,Mozambique,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,221316,Not able to calculate,1,0.5
Perth and Kinross,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,151000,Not able to calculate,1,0.5
Petrolina,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,293962,Not able to calculate,1,0.5
Pietermaritzburg,South Africa,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,618536,Not able to calculate,1,0.5
Pirenópolis,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,24749,Not able to calculate,1,0.5
Piura,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,815,Not able to calculate,1,0.5
Podgorica,Montenegro,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,185937,Not able to calculate,1,0.5
Port Allen,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,5320,Not able to calculate,1,0.5
Portalegre,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,15374,Not able to calculate,1,0.5
Porto Feliz,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,48893,Not able to calculate,1,0.5
Prefeitura de Alexânia,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,20033,Not able to calculate,1,0.5
Prefeitura de Anapolis,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,386923,Not able to calculate,1,0.5
Prefeitura de Assis,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,103000,Not able to calculate,1,0.5
Prefeitura de Boa Ventura,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,5751,Not able to calculate,1,0.5
Prefeitura de Brasiléia,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,25848,Not able to calculate,1,0.5
Prefeitura de Cáceres,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,87942,Not able to calculate,1,0.5
Prefeitura de Carnaúba dos Dantas,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,7429,Not able to calculate,1,0.5
Prefeitura de Conde (Paraìba),Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,24610,Not able to calculate,1,0.5
Prefeitura de Cordeirópolis,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,25000,Not able to calculate,1,0.5
Prefeitura de Dois Irmãos,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,30472,Not able to calculate,1,0.5
Prefeitura de Epitaciolândia,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,18411,Not able to calculate,1,0.5
Prefeitura de Fraiburgo,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,34553,Not able to calculate,1,0.5
Prefeitura de Guanhães,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,34319,Not able to calculate,1,0.5
Prefeitura de Igarassu,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,112463,Not able to calculate,1,0.5
Prefeitura de ìguas da Prata,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,8137,Not able to calculate,1,0.5
Prefeitura de Indiaroba,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,17957,Not able to calculate,1,0.5
Prefeitura de Nova Friburgo,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,182082,Not able to calculate,1,0.5
Prefeitura de Nova Santa Rita,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,29905,Not able to calculate,1,0.5
Prefeitura de Pau Brasil,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,10852,Not able to calculate,1,0.5
Prefeitura de Pedra Bela,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Prefeitura de PilÃµes,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,3838,Not able to calculate,1,0.5
Prefeitura de Quissamã,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,20242,Not able to calculate,1,0.5
Prefeitura de Santa Bárbara,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,31604,Not able to calculate,1,0.5
Prefeitura de São Bento do Una,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,58000,Not able to calculate,1,0.5
Prefeitura de São Carlos,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Prefeitura de São Cristóvão,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,78864,Not able to calculate,1,0.5
Prefeitura de São Luis de Montes Belos,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,33817,Not able to calculate,1,0.5
Prefeitura de Venâncio Aires,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,71554,Not able to calculate,1,0.5
Presidente Prudente,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,226,Not able to calculate,1,0.5
Puente Piedra,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Puerto Barrios,Guatemala,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,116000,Not able to calculate,1,0.5
Quelimane,Mozambique,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,250000,Not able to calculate,1,0.5
Rabat,Morocco,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
"Racine, WI",United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,78860,Not able to calculate,1,0.5
Ramallah,State of Palestine,Middle East,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,66000,Not able to calculate,1,0.5
Ramsey,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,26462,Not able to calculate,1,0.5
Reggio Emilia,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Rimac,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,167286,Not able to calculate,1,0.5
Rimini,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,150590,Not able to calculate,1,0.5
Rio Verde,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,229651,Not able to calculate,1,0.5
Rostock,Germany,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,209000,Not able to calculate,1,0.5
San Isidro (Argentina),Argentina,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,293,Not able to calculate,1,0.5
San Jose del Monte,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,692223,Not able to calculate,1,0.5
San Miguel de Allende,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,180000,Not able to calculate,1,0.5
San Pedro de la Paz,Chile,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,131808,Not able to calculate,1,0.5
San Pedro de Urabá,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,37255,Not able to calculate,1,0.5
San Pedro Yepocapa,Guatemala,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,41045,Not able to calculate,1,0.5
San Rafael de Heredia,Costa Rica,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,55269,Not able to calculate,1,0.5
San Sebastián de Mariquita,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,38566,Not able to calculate,1,0.5
Santa Ana (Costa Rica),Costa Rica,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,60453,Not able to calculate,1,0.5
Santa Bárbara (Costa Rica),Costa Rica,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,42778,Not able to calculate,1,0.5
Santiago de Surco,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,499210,Not able to calculate,1,0.5
Santo André,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,676407,Not able to calculate,1,0.5
Santos,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,434742,Not able to calculate,1,0.5
São Bento do Sapucaì,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,11000,Not able to calculate,1,0.5
São João da Boa Vista,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,90089,Not able to calculate,1,0.5
São José do Rio Preto,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,456245,Not able to calculate,1,0.5
São Leopoldo,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,236835,Not able to calculate,1,0.5
São Luìs,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1091868000,Not able to calculate,1,0.5
