City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Laborde,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,5943,Do not know,1,1.25
Leandro . N. Alem,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,31364,This is our first year of calculation,1,1.25
Llambi Campbell,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,2523,Not able to calculate,1,1.25
Loncopue,Argentina,Latin America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,51,This is our first year of calculation,1,1.25
Los Molles,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,732,Not able to calculate,1,1.25
Los Surgentes,Argentina,Latin America,1,0,2013,1,2,3,1,1.5,Not reported,1,Not reported,1,2795,Not able to calculate,1,1.25
Madrid (Colombia),Colombia,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,127138,Increased,1,1.25
Maggiolo,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,2062,This is our first year of calculation,1,1.25
Malabrigo,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,7620,Increased,1,1.25
Malargue,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,32006,Increased,1,1.25
Mariá Grande,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,8077,This is our first year of calculation,1,1.25
Mendoza,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,115041,Increased,1,1.25
"Metropolitan Council, Twin Cities",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,3099000,This is our first year of calculation,1,1.25
Miami,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,467963,Decreased,1,1.25
Milwaukee,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,590157,This is our first year of calculation,1,1.25
Monte Buey,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,6505,Decreased,1,1.25
Morón,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,321109,Do not know,1,1.25
Mount Barker District Council,Australia,Southeast Asia and Oceania,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,37481,Increased,1,1.25
Muar Municipal Council,Malaysia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,281500,This is our first year of calculation,1,1.25
Municipalidad  de Rosario,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,982137,Increased,1,1.25
Municipalidad de Avellaneda,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,26492,This is our first year of calculation,1,1.25
Municipalidad de la Ciudad de Neuquén,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,259182,This is our first year of calculation,1,1.25
Municipalidad de Montecarlo,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,25845,This is our first year of calculation,1,1.25
Municipalidad de Oro Verde,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,6221,This is our first year of calculation,1,1.25
Municipalidad de Puerto Esperanza,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,18286,This is our first year of calculation,1,1.25
Municipalidad de San Carlos de Bariloche,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,112887,Do not know,1,1.25
Municipalidad Venado Tuerto,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,81522,Increased,1,1.25
Municipality of Bell Ville,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,35281,This is our first year of calculation,1,1.25
Municipality of Bragado,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,41336,This is our first year of calculation,1,1.25
Municipality of Centeno,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,3116,Not able to calculate,1,1.25
Municipality of Coronel Dominguez,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,1231,Increased,1,1.25
Municipality of Corrientes,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,349648,Increased,1,1.25
Municipality of Gemona del Friuli,Italy,Europe,1,0,2013,1,2,3,1,1.5,Not reported,1,Not reported,1,11135,This is our first year of calculation,1,1.25
Municipality of Guaymallén,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,324272,Decreased,1,1.25
Municipality of Inriville,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,3719,This is our first year of calculation,1,1.25
Municipality of Lobos,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,39239,Increased,1,1.25
Municipality of Olavarrìa,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,111708,This is our first year of calculation,1,1.25
Municipality of Patagones,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,31294,This is our first year of calculation,1,1.25
Municipality of Pérez,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,29204,This is our first year of calculation,1,1.25
Municipality of Rauch,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,15520,This is our first year of calculation,1,1.25
Municipality of Resistencia,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,305461,Increased,1,1.25
Municipality of San Antonio de Areco,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,24668,Decreased,1,1.25
Municipality of San Martìn de los Andes,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,37078,Increased,1,1.25
Municipality of Soldini,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,3212,This is our first year of calculation,1,1.25
Municipio de Querétaro,Mexico,Latin America,1,0,2015,1,1,4,2,1.5,Not reported,1,Not reported,1,878931,Increased,1,1.25
Nairobi,Kenya,Africa,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,4500000,Not able to calculate,1,1.25
Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,300196,This is our first year of calculation,1,1.25
Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,332900,This is our first year of calculation,1,1.25
Oberá,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,70356,This is our first year of calculation,1,1.25
Oliva (Argentina),Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,15031,This is our first year of calculation,1,1.25
"Orange County, NC",United States of America,North America,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,142830,Decreased,1,1.25
"Park Forest, IL",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,21210,Stayed the same,1,1.25
Penampang District Council,Malaysia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,145630,This is our first year of calculation,1,1.25
Pingtung County,"Taiwan, Greater China",East Asia,1,0,2018,1,1,4,2,1.5,Not reported,1,Not reported,1,816636,Decreased,1,1.25
Plottier,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,42329,This is our first year of calculation,1,1.25
