Ranking,City,Country,Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGcpProtocolScore,NumberOfGhgReported,GhgScore,Transparency,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,TrajectoryScore,Emissions,Overall
755,Duque de Caxias,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,886917,Not able to calculate,,60,37.5
755,Dura,State of Palestine,Middle East,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,East Hampton,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,21457,Not able to calculate,,60,37.5
755,Ekurhuleni,South Africa,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,3894000,Not able to calculate,,60,37.5
755,Elgin,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,110000,Not able to calculate,,60,37.5
755,Eskişehir,Turkey,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,887475,Not able to calculate,,60,37.5
755,Esquìas,Honduras,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,18308,Not able to calculate,,60,37.5
755,Évora,Portugal,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,56596,Not able to calculate,,60,37.5
755,Figueira da Foz,Portugal,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,62125,Not able to calculate,,60,37.5
755,Floridablanca,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,263095,Not able to calculate,,60,37.5
755,Fort Worth,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,909585,Not able to calculate,,60,37.5
755,Franco da Rocha,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,131,Not able to calculate,,60,37.5
755,Frederikshavn,Denmark,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,60379,Not able to calculate,,60,37.5
755,Galati,Romania,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,303000,Not able to calculate,,60,37.5
755,Gangtok,India,South and West Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,100286,Not able to calculate,,60,37.5
755,Gdynia,Poland,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,246348,Not able to calculate,,60,37.5
755,Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,598830,Not able to calculate,,60,37.5
755,Grand-Bassam,Côte d'Ivoire,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,84000,Not able to calculate,,60,37.5
755,Gretna,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,17935,Not able to calculate,,60,37.5
755,Guarujá,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,290752,Not able to calculate,,60,37.5
755,Guarulhos,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1349000,Not able to calculate,,60,37.5
755,Guilford,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,2121,Not able to calculate,,60,37.5
755,Guwahati,India,South and West Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1498970,Not able to calculate,,60,37.5
755,Gwangmyeong-si,Republic of Korea,East Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,321435,Not able to calculate,,60,37.5
755,Harare,Zimbabwe,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1836552,Not able to calculate,,60,37.5
755,Henderson,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,310374,Not able to calculate,,60,37.5
755,Huntington Beach,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,202498,Not able to calculate,,60,37.5
755,Hwaseong-si,Republic of Korea,East Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,850050,Not able to calculate,,60,37.5
755,Ilha,Mozambique,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,ìlhavo,Portugal,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,38598,Not able to calculate,,60,37.5
755,Itagüì,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,276744,Not able to calculate,,60,37.5
755,Jahu,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Jasin,Malaysia,Southeast Asia and Oceania,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,141000,Not able to calculate,,60,37.5
755,Jbail-Byblos,Lebanon,Middle East,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,40000000,Not able to calculate,,60,37.5
755,Jelgava,Latvia,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
